@relation 'adult-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval -P 1 -E 1-Sweka.attributeSelection.BestFirst -D 1 -N 5'

@attribute education.num numeric
@attribute marital.status {Widowed,Divorced,Separated,Never-married,Married-civ-spouse,Married-spouse-absent,Married-AF-spouse}
@attribute relationship {Not-in-family,Unmarried,Own-child,Other-relative,Husband,Wife}
@attribute capital.gain numeric
@attribute capital.loss numeric
@attribute income {<=50K,>50K}

@data
0.533333,Widowed,Not-in-family,0,1,<=50K
0.533333,Widowed,Not-in-family,0,1,<=50K
0.6,Widowed,Unmarried,0,1,<=50K
0.2,Divorced,Unmarried,0,0.895317,<=50K
0.6,Separated,Own-child,0,0.895317,<=50K
0.533333,Divorced,Unmarried,0,0.865473,<=50K
0.333333,Separated,Unmarried,0,0.865473,<=50K
1,Never-married,Other-relative,0,0.8455,>50K
0.533333,Divorced,Not-in-family,0,0.8455,<=50K
0.6,Never-married,Unmarried,0,0.689624,>50K
1,Divorced,Unmarried,0,0.689624,>50K
0.933333,Never-married,Not-in-family,0,0.648301,>50K
0.8,Widowed,Not-in-family,0,0.648301,>50K
0.866667,Separated,Not-in-family,0,0.648301,>50K
1,Never-married,Not-in-family,0,0.648301,>50K
0.933333,Divorced,Not-in-family,0,0.648301,>50K
0.4,Divorced,Not-in-family,0,0.648301,>50K
0.866667,Divorced,Not-in-family,0,0.648301,>50K
0.733333,Never-married,Not-in-family,0,0.648301,>50K
0.8,Separated,Not-in-family,0,0.648301,>50K
0.8,Never-married,Not-in-family,0,0.648301,>50K
0.4,Separated,Not-in-family,0,0.632231,<=50K
0.533333,Divorced,Unmarried,0,0.632231,<=50K
0.6,Married-civ-spouse,Husband,0,0.597567,<=50K
0.533333,Married-civ-spouse,Husband,0,0.597567,<=50K
0.666667,Married-civ-spouse,Husband,0,0.597567,<=50K
0.066667,Married-civ-spouse,Not-in-family,0,0.597567,<=50K
0.133333,Married-civ-spouse,Husband,0,0.597567,<=50K
0.333333,Never-married,Not-in-family,0,0.587466,>50K
0.333333,Never-married,Not-in-family,0,0.587466,>50K
0.6,Separated,Not-in-family,0,0.587466,>50K
0.333333,Widowed,Unmarried,0,0.587466,>50K
0.933333,Divorced,Not-in-family,0,0.587466,>50K
0.8,Divorced,Not-in-family,0,0.587466,>50K
0.533333,Never-married,Not-in-family,0,0.587466,>50K
1,Divorced,Not-in-family,0,0.587466,>50K
0.533333,Never-married,Not-in-family,0,0.587466,>50K
0.933333,Never-married,Not-in-family,0,0.587466,>50K
1,Never-married,Not-in-family,0,0.587466,>50K
0.866667,Divorced,Not-in-family,0,0.587466,>50K
0.8,Divorced,Unmarried,0,0.584711,>50K
0.866667,Divorced,Unmarried,0,0.584711,>50K
0.6,Divorced,Unmarried,0,0.584711,>50K
0.866667,Divorced,Unmarried,0,0.584711,>50K
0.533333,Married-civ-spouse,Husband,0,0.571396,<=50K
0.8,Married-spouse-absent,Unmarried,0,0.567493,>50K
0.533333,Married-civ-spouse,Husband,0,0.566345,<=50K
0.533333,Married-civ-spouse,Husband,0,0.56405,<=50K
0.6,Married-civ-spouse,Wife,0,0.56405,<=50K
0.6,Married-civ-spouse,Husband,0,0.56405,<=50K
0.933333,Never-married,Not-in-family,0,0.561065,>50K
0.533333,Widowed,Not-in-family,0,0.561065,>50K
0.666667,Divorced,Not-in-family,0,0.561065,>50K
0.6,Never-married,Not-in-family,0,0.561065,>50K
0.866667,Never-married,Not-in-family,0,0.561065,>50K
